"","id","Education","JoiningYear","City","PaymentTier","Age","Gender","EverBenched","ExperienceInCurrentDomain","LeaveOrNot","Gender_Numeric","EverBenched_Numeric","Education_Numeric"
"60",60,"Masters",2017,"Pune",2,36,"Male","No",2,1,0,0,2
"61",61,"Masters",2013,"New Delhi",3,29,"Male","No",3,0,0,0,2
"62",62,"Bachelors",2015,"Bangalore",3,30,"Male","No",5,0,0,0,1
"63",63,"PHD",2013,"Bangalore",2,25,"Male","No",3,1,0,0,3
"64",64,"Bachelors",2014,"Pune",1,22,"Female","No",0,1,1,0,1
"65",65,"Bachelors",2016,"Bangalore",3,34,"Male","No",4,0,0,0,1
"66",66,"Bachelors",2018,"Bangalore",3,40,"Male","No",1,1,0,0,1
"67",67,"PHD",2013,"Bangalore",3,26,"Male","No",4,0,0,0,3
"68",68,"Bachelors",2014,"New Delhi",3,28,"Male","No",0,0,0,0,1
"69",69,"Bachelors",2015,"Bangalore",3,24,"Female","No",2,0,1,0,1
"70",70,"Masters",2017,"Bangalore",3,40,"Female","No",2,1,1,0,2
"71",71,"Bachelors",2018,"Bangalore",3,23,"Female","No",1,1,1,0,1
"72",72,"Masters",2017,"Bangalore",3,31,"Male","No",4,0,0,0,2
"73",73,"Bachelors",2014,"Pune",3,25,"Female","No",3,0,1,0,1
"74",74,"Bachelors",2014,"Bangalore",1,27,"Male","No",5,0,0,0,1
"75",75,"Masters",2017,"New Delhi",2,25,"Female","No",3,1,1,0,2
"76",76,"Bachelors",2015,"Bangalore",3,40,"Male","No",0,1,0,0,1
"77",77,"Bachelors",2014,"Bangalore",1,23,"Female","No",1,0,1,0,1
"78",78,"Bachelors",2017,"Bangalore",3,23,"Female","No",1,0,1,0,1
"79",79,"Bachelors",2012,"Bangalore",3,39,"Male","No",1,0,0,0,1
"80",80,"PHD",2015,"New Delhi",1,37,"Male","No",1,0,0,0,3
"81",81,"Bachelors",2017,"Pune",3,38,"Male","No",2,0,0,0,1
"82",82,"Bachelors",2013,"Bangalore",3,31,"Female","No",0,1,1,0,1
"83",83,"Bachelors",2016,"Bangalore",3,38,"Male","No",5,0,0,0,1
"84",84,"Bachelors",2017,"Bangalore",3,25,"Female","No",3,0,1,0,1
"85",85,"Bachelors",2015,"Bangalore",3,27,"Female","Yes",5,1,1,1,1
"86",86,"Bachelors",2016,"Pune",2,36,"Male","No",0,1,0,0,1
"87",87,"Bachelors",2017,"Pune",2,27,"Female","No",5,1,1,0,1
"88",88,"Masters",2015,"Pune",2,32,"Female","No",4,0,1,0,2
"89",89,"Bachelors",2014,"Bangalore",3,28,"Male","No",4,0,0,0,1
"90",90,"Masters",2012,"New Delhi",3,32,"Male","No",2,0,0,0,2
"91",91,"Bachelors",2018,"Bangalore",3,30,"Male","No",0,1,0,0,1
"92",92,"Bachelors",2015,"New Delhi",3,22,"Male","No",0,0,0,0,1
"93",93,"Bachelors",2017,"New Delhi",2,34,"Female","No",5,0,1,0,1
"94",94,"Masters",2013,"New Delhi",3,36,"Male","No",2,0,0,0,2
"95",95,"Bachelors",2014,"Bangalore",3,39,"Male","No",3,1,0,0,1
"96",96,"PHD",2018,"Bangalore",3,26,"Male","No",4,1,0,0,3
"97",97,"Bachelors",2016,"Bangalore",3,31,"Female","No",0,0,1,0,1
"98",98,"Bachelors",2014,"Bangalore",3,27,"Male","No",5,1,0,0,1
"99",99,"Bachelors",2014,"Bangalore",3,29,"Female","No",0,0,1,0,1
"100",100,"Bachelors",2015,"Bangalore",3,24,"Female","No",2,1,1,0,1
"101",101,"Masters",2012,"Pune",3,25,"Male","No",3,1,0,0,2
"102",102,"Bachelors",2013,"Pune",3,25,"Male","No",3,0,0,0,1
"103",103,"Masters",2017,"New Delhi",3,26,"Female","No",4,1,1,0,2
"104",104,"Bachelors",2015,"Pune",2,28,"Female","Yes",1,1,1,1,1
"105",105,"Bachelors",2017,"New Delhi",3,28,"Male","No",2,0,0,0,1
"106",106,"Masters",2015,"Pune",1,28,"Female","No",3,1,1,0,2
"107",107,"Masters",2015,"New Delhi",3,25,"Male","No",3,0,0,0,2
"108",108,"Bachelors",2017,"Bangalore",3,28,"Male","No",1,0,0,0,1
"109",109,"Masters",2013,"Pune",3,25,"Male","No",3,0,0,0,2
"110",110,"Bachelors",2015,"Bangalore",2,25,"Female","No",3,1,1,0,1
"111",111,"Bachelors",2015,"Bangalore",3,27,"Female","No",5,0,1,0,1
"112",112,"Bachelors",2017,"Pune",2,27,"Female","No",5,1,1,0,1
"113",113,"Bachelors",2013,"Bangalore",3,27,"Male","No",5,1,0,0,1
"114",114,"Bachelors",2012,"Bangalore",3,25,"Male","No",3,0,0,0,1
"115",115,"Masters",2017,"New Delhi",2,28,"Male","No",2,0,0,0,2
"116",116,"Bachelors",2014,"Pune",1,26,"Female","No",4,1,1,0,1
"117",117,"Bachelors",2015,"Bangalore",3,28,"Male","No",2,0,0,0,1
"118",118,"Masters",2013,"New Delhi",3,26,"Male","No",4,0,0,0,2
"119",119,"Bachelors",2017,"Bangalore",3,26,"Female","No",4,0,1,0,1
"120",120,"Bachelors",2017,"New Delhi",2,25,"Male","No",3,0,0,0,1
"121",121,"Bachelors",2012,"Bangalore",1,28,"Female","No",3,0,1,0,1
"122",122,"PHD",2015,"New Delhi",3,26,"Male","No",4,0,0,0,3
"123",123,"Bachelors",2015,"New Delhi",3,25,"Female","No",3,0,1,0,1
"124",124,"Bachelors",2012,"Bangalore",3,26,"Male","No",4,1,0,0,1
"125",125,"Bachelors",2014,"Bangalore",3,28,"Female","No",3,0,1,0,1
"126",126,"Masters",2014,"Pune",3,24,"Male","No",2,0,0,0,2
"127",127,"Bachelors",2013,"Bangalore",3,28,"Male","No",1,0,0,0,1
"128",128,"Bachelors",2015,"Pune",3,27,"Male","No",5,0,0,0,1
"129",129,"Bachelors",2018,"Bangalore",3,25,"Male","No",3,1,0,0,1
"130",130,"Masters",2013,"Pune",1,24,"Male","No",2,1,0,0,2
"131",131,"Bachelors",2017,"Bangalore",3,26,"Female","No",4,0,1,0,1
"132",132,"Bachelors",2013,"Bangalore",3,28,"Male","No",1,1,0,0,1
"133",133,"Masters",2016,"New Delhi",3,27,"Male","No",5,0,0,0,2
"134",134,"Masters",2017,"Bangalore",3,26,"Male","No",4,0,0,0,2
"135",135,"Masters",2017,"New Delhi",2,24,"Male","No",2,0,0,0,2
"136",136,"Masters",2018,"New Delhi",3,26,"Male","No",4,1,0,0,2
"137",137,"Masters",2017,"New Delhi",1,25,"Female","No",3,1,1,0,2
"138",138,"Bachelors",2012,"Pune",3,28,"Male","No",2,0,0,0,1
"139",139,"Bachelors",2017,"New Delhi",3,28,"Male","No",2,0,0,0,1
"140",140,"Bachelors",2013,"Bangalore",3,26,"Male","No",4,0,0,0,1
"141",141,"Masters",2013,"New Delhi",3,27,"Male","No",5,1,0,0,2
"142",142,"Bachelors",2017,"Pune",2,24,"Female","No",2,1,1,0,1
"143",143,"Bachelors",2017,"New Delhi",3,28,"Female","No",2,0,1,0,1
"144",144,"Bachelors",2016,"Bangalore",3,26,"Male","No",4,0,0,0,1
"145",145,"Bachelors",2013,"Bangalore",3,27,"Female","No",5,0,1,0,1
"146",146,"Masters",2015,"Pune",2,28,"Female","No",3,0,1,0,2
"147",147,"Bachelors",2014,"Bangalore",3,25,"Male","No",3,0,0,0,1
"148",148,"Bachelors",2016,"Pune",3,28,"Male","No",1,0,0,0,1
"149",149,"Masters",2013,"Bangalore",1,25,"Male","No",3,1,0,0,2
"150",150,"Bachelors",2015,"Pune",3,26,"Male","No",4,0,0,0,1
"151",151,"Bachelors",2018,"New Delhi",3,27,"Female","No",5,1,1,0,1
"152",152,"Bachelors",2016,"Bangalore",3,24,"Male","No",2,1,0,0,1
"153",153,"Bachelors",2012,"Pune",2,24,"Female","No",2,1,1,0,1
"154",154,"Bachelors",2014,"Bangalore",3,26,"Male","No",4,0,0,0,1
"155",155,"Bachelors",2016,"Pune",2,24,"Female","No",2,1,1,0,1
"156",156,"Masters",2012,"New Delhi",3,26,"Female","No",4,0,1,0,2
"157",157,"Bachelors",2013,"Bangalore",3,28,"Female","No",3,0,1,0,1
"158",158,"Bachelors",2012,"Bangalore",3,24,"Male","No",2,1,0,0,1
"159",159,"Bachelors",2015,"Bangalore",3,25,"Male","No",3,1,0,0,1
"160",160,"Bachelors",2016,"Bangalore",3,28,"Male","No",3,0,0,0,1
"161",161,"Bachelors",2014,"Bangalore",3,28,"Female","No",3,0,1,0,1
"162",162,"Bachelors",2013,"Bangalore",3,26,"Female","No",4,0,1,0,1
"163",163,"Masters",2017,"New Delhi",3,24,"Female","No",2,1,1,0,2
"164",164,"Bachelors",2016,"Bangalore",3,25,"Male","No",3,1,0,0,1
"165",165,"Bachelors",2015,"Bangalore",3,25,"Male","No",3,0,0,0,1
"166",166,"Bachelors",2014,"Bangalore",3,27,"Male","No",5,0,0,0,1
"167",167,"Bachelors",2012,"Bangalore",3,24,"Male","No",2,0,0,0,1
"168",168,"Bachelors",2014,"Bangalore",3,25,"Male","No",3,0,0,0,1
"169",169,"Bachelors",2015,"Bangalore",3,28,"Male","No",3,0,0,0,1
"170",170,"Masters",2015,"New Delhi",3,26,"Male","No",4,1,0,0,2
"171",171,"Bachelors",2014,"New Delhi",3,28,"Female","No",1,0,1,0,1
"172",172,"Bachelors",2015,"Pune",3,25,"Male","No",3,0,0,0,1
"173",173,"Masters",2015,"Pune",2,28,"Female","No",2,0,1,0,2
"174",174,"Bachelors",2014,"Bangalore",3,27,"Female","No",5,0,1,0,1
"175",175,"Bachelors",2013,"Bangalore",3,26,"Male","No",4,0,0,0,1
"176",176,"Bachelors",2016,"Bangalore",3,26,"Male","No",4,0,0,0,1
"177",177,"Bachelors",2012,"Bangalore",3,25,"Male","No",3,0,0,0,1
"178",178,"Bachelors",2015,"Bangalore",3,25,"Male","No",3,0,0,0,1
"179",179,"Bachelors",2014,"New Delhi",3,24,"Female","No",2,0,1,0,1
"180",180,"Bachelors",2012,"Bangalore",3,27,"Male","No",5,1,0,0,1
"181",181,"Masters",2017,"New Delhi",3,27,"Male","No",5,1,0,0,2
"182",182,"Bachelors",2015,"Pune",3,27,"Male","No",5,0,0,0,1
"183",183,"Bachelors",2018,"Bangalore",3,24,"Male","No",2,1,0,0,1
"184",184,"Masters",2017,"New Delhi",3,27,"Male","No",5,1,0,0,2
"185",185,"Masters",2017,"New Delhi",2,28,"Female","No",1,1,1,0,2
"186",186,"Masters",2017,"Pune",2,24,"Male","No",2,1,0,0,2
"187",187,"Masters",2016,"New Delhi",3,25,"Female","No",3,1,1,0,2
"188",188,"PHD",2015,"New Delhi",3,28,"Female","No",1,0,1,0,3
"189",189,"Bachelors",2017,"New Delhi",2,26,"Male","No",4,0,0,0,1
"190",190,"Bachelors",2013,"Bangalore",2,27,"Male","No",5,0,0,0,1
"191",191,"Bachelors",2015,"Bangalore",3,26,"Male","No",4,0,0,0,1
"192",192,"Bachelors",2015,"Bangalore",3,26,"Male","No",4,0,0,0,1
"193",193,"Bachelors",2013,"Bangalore",3,28,"Male","No",1,0,0,0,1
"194",194,"Bachelors",2015,"Bangalore",3,27,"Female","No",5,0,1,0,1
"195",195,"Bachelors",2013,"New Delhi",3,25,"Female","No",3,0,1,0,1
"196",196,"Bachelors",2013,"Pune",3,28,"Male","No",1,0,0,0,1
"197",197,"Bachelors",2017,"Pune",3,24,"Male","No",2,0,0,0,1
"198",198,"Bachelors",2013,"New Delhi",3,27,"Female","No",5,0,1,0,1
"199",199,"Bachelors",2015,"Bangalore",3,28,"Male","Yes",2,0,0,1,1
"200",200,"Bachelors",2015,"Pune",3,28,"Male","No",3,0,0,0,1
"201",201,"Bachelors",2014,"Pune",2,25,"Female","No",3,1,1,0,1
"202",202,"Bachelors",2014,"Bangalore",3,25,"Male","No",3,0,0,0,1
"203",203,"Bachelors",2017,"Bangalore",3,27,"Male","No",5,0,0,0,1
"204",204,"Bachelors",2014,"Pune",2,26,"Female","No",4,1,1,0,1
"205",205,"PHD",2013,"New Delhi",3,24,"Male","No",2,0,0,0,3
"206",206,"Bachelors",2015,"Pune",2,26,"Female","No",4,1,1,0,1
"207",207,"Bachelors",2017,"Bangalore",3,25,"Male","No",3,0,0,0,1
"208",208,"Masters",2013,"Pune",2,27,"Male","No",5,1,0,0,2
"209",209,"Masters",2017,"Bangalore",3,28,"Male","No",2,0,0,0,2
"210",210,"Bachelors",2012,"Bangalore",3,25,"Male","No",3,1,0,0,1
"211",211,"Bachelors",2017,"Bangalore",3,27,"Male","No",5,0,0,0,1
"212",212,"Masters",2017,"Pune",2,27,"Female","No",5,0,1,0,2
"213",213,"Masters",2013,"Bangalore",2,28,"Female","No",2,1,1,0,2
"214",214,"Masters",2017,"Pune",3,28,"Male","No",1,1,0,0,2
"215",215,"Bachelors",2018,"Bangalore",3,27,"Female","No",5,1,1,0,1
"216",216,"Bachelors",2014,"New Delhi",3,25,"Female","No",3,0,1,0,1
"217",217,"Masters",2017,"New Delhi",3,27,"Male","No",5,1,0,0,2
"218",218,"Masters",2013,"New Delhi",3,26,"Male","No",4,1,0,0,2
"219",219,"Bachelors",2013,"Pune",2,25,"Female","No",3,1,1,0,1
"220",220,"Masters",2012,"New Delhi",3,26,"Male","No",4,1,0,0,2
"221",221,"Bachelors",2016,"Bangalore",3,25,"Male","No",3,1,0,0,1
"222",222,"Bachelors",2013,"Pune",2,26,"Male","No",4,0,0,0,1
"223",223,"Bachelors",2018,"Bangalore",3,28,"Female","No",2,1,1,0,1
"224",224,"Bachelors",2013,"Bangalore",3,27,"Male","No",5,0,0,0,1
"225",225,"Bachelors",2015,"Pune",1,24,"Female","Yes",2,1,1,1,1
"226",226,"Bachelors",2013,"Pune",3,28,"Male","No",2,0,0,0,1
"227",227,"Bachelors",2015,"Pune",2,27,"Female","Yes",5,1,1,1,1
"228",228,"Bachelors",2018,"Bangalore",3,25,"Male","No",3,1,0,0,1
"229",229,"Bachelors",2014,"Pune",2,27,"Female","No",5,1,1,0,1
"230",230,"Bachelors",2013,"Pune",3,24,"Male","No",2,0,0,0,1
"231",231,"Bachelors",2014,"Pune",3,24,"Male","No",2,0,0,0,1
"232",232,"PHD",2015,"New Delhi",2,25,"Female","No",3,0,1,0,3
"233",233,"Bachelors",2014,"Bangalore",3,26,"Male","Yes",4,0,0,1,1
"234",234,"Bachelors",2018,"Bangalore",3,24,"Male","No",2,1,0,0,1
"235",235,"Masters",2015,"Pune",2,25,"Female","No",3,0,1,0,2
"236",236,"Bachelors",2015,"Bangalore",3,24,"Male","No",2,0,0,0,1
"237",237,"Bachelors",2014,"New Delhi",3,24,"Female","No",2,0,1,0,1
"238",238,"Masters",2017,"Bangalore",2,26,"Female","No",4,1,1,0,2
"239",239,"Bachelors",2012,"New Delhi",3,28,"Male","No",1,0,0,0,1
"240",240,"Masters",2017,"Pune",2,26,"Female","No",4,0,1,0,2
"241",241,"Bachelors",2016,"Pune",3,25,"Male","No",3,0,0,0,1
"242",242,"Bachelors",2017,"New Delhi",3,24,"Male","No",2,1,0,0,1
"243",243,"Bachelors",2013,"Pune",2,28,"Female","No",3,1,1,0,1
"244",244,"Bachelors",2014,"Bangalore",3,25,"Female","No",3,1,1,0,1
"245",245,"Bachelors",2014,"Bangalore",3,25,"Male","No",3,0,0,0,1
"246",246,"Bachelors",2014,"Pune",2,24,"Female","No",2,1,1,0,1
"247",247,"Bachelors",2015,"Bangalore",3,28,"Male","No",2,1,0,0,1
"248",248,"Bachelors",2015,"Bangalore",3,27,"Male","No",5,0,0,0,1
"249",249,"Bachelors",2016,"Pune",3,26,"Male","No",4,0,0,0,1
"250",250,"Masters",2015,"New Delhi",3,26,"Female","No",4,1,1,0,2
"251",251,"Bachelors",2016,"Bangalore",1,28,"Female","No",2,0,1,0,1
"252",252,"Bachelors",2014,"Bangalore",3,25,"Male","Yes",3,0,0,1,1
"253",253,"Bachelors",2014,"Bangalore",3,27,"Male","No",5,0,0,0,1
"254",254,"Bachelors",2017,"Bangalore",3,28,"Male","No",2,0,0,0,1
"255",255,"Masters",2018,"New Delhi",3,24,"Female","Yes",2,1,1,1,2
"256",256,"Bachelors",2017,"Pune",2,25,"Male","No",3,0,0,0,1
"257",257,"Bachelors",2018,"Pune",2,24,"Female","No",2,1,1,0,1
"258",258,"Masters",2017,"New Delhi",2,28,"Female","No",1,0,1,0,2
"259",259,"Bachelors",2013,"New Delhi",1,27,"Female","No",5,0,1,0,1
"260",260,"Bachelors",2017,"New Delhi",2,27,"Female","No",5,0,1,0,1
"261",261,"Bachelors",2017,"Bangalore",3,28,"Male","No",1,0,0,0,1
"262",262,"Bachelors",2016,"Pune",2,27,"Female","No",5,1,1,0,1
"263",263,"Masters",2018,"Bangalore",3,24,"Male","No",2,1,0,0,2
"264",264,"Bachelors",2012,"Pune",1,26,"Male","No",4,0,0,0,1
"265",265,"Bachelors",2016,"Bangalore",3,26,"Male","No",4,0,0,0,1
"266",266,"Masters",2016,"New Delhi",1,27,"Male","No",5,0,0,0,2
"267",267,"Bachelors",2015,"New Delhi",3,26,"Female","No",4,0,1,0,1
"268",268,"Bachelors",2012,"Bangalore",3,27,"Male","Yes",5,0,0,1,1
"269",269,"Bachelors",2013,"Bangalore",3,24,"Male","Yes",2,1,0,1,1
"270",270,"Bachelors",2018,"Bangalore",3,26,"Female","No",4,1,1,0,1
"271",271,"Masters",2017,"Pune",2,26,"Female","No",4,1,1,0,2
"272",272,"Masters",2017,"New Delhi",2,28,"Female","No",2,0,1,0,2
"273",273,"Bachelors",2013,"Pune",3,28,"Male","No",1,0,0,0,1
"274",274,"Masters",2013,"New Delhi",3,25,"Male","No",3,0,0,0,2
"275",275,"Bachelors",2018,"Bangalore",3,28,"Female","Yes",1,1,1,1,1
"276",276,"Bachelors",2013,"Pune",3,27,"Female","No",5,1,1,0,1
"277",277,"Bachelors",2012,"Bangalore",3,25,"Male","No",3,0,0,0,1
"278",278,"Bachelors",2014,"Bangalore",3,28,"Male","No",1,0,0,0,1
"279",279,"Bachelors",2017,"New Delhi",3,28,"Female","No",3,0,1,0,1
"280",280,"Masters",2017,"New Delhi",2,28,"Male","Yes",2,0,0,1,2
"281",281,"Bachelors",2014,"Bangalore",3,25,"Male","No",3,0,0,0,1
"282",282,"Masters",2017,"New Delhi",3,26,"Male","No",4,0,0,0,2
"283",283,"Bachelors",2015,"Pune",1,25,"Female","No",3,1,1,0,1
"284",284,"Masters",2013,"New Delhi",3,27,"Male","No",5,0,0,0,2
"285",285,"PHD",2014,"Bangalore",3,24,"Female","No",2,0,1,0,3
"286",286,"Masters",2017,"New Delhi",2,27,"Female","No",5,0,1,0,2
"287",287,"Bachelors",2018,"Bangalore",3,26,"Male","No",4,1,0,0,1
"288",288,"Bachelors",2012,"Bangalore",3,26,"Male","No",4,0,0,0,1
"289",289,"Masters",2015,"Pune",3,27,"Female","No",5,1,1,0,2
"290",290,"Bachelors",2018,"Bangalore",3,26,"Male","No",4,1,0,0,1
"291",291,"Bachelors",2016,"Bangalore",3,24,"Male","No",2,0,0,0,1
"292",292,"Masters",2017,"New Delhi",2,25,"Female","No",3,0,1,0,2
"293",293,"Bachelors",2017,"New Delhi",2,28,"Male","No",1,0,0,0,1
"294",294,"Bachelors",2012,"New Delhi",3,27,"Female","No",5,0,1,0,1
"295",295,"Masters",2013,"New Delhi",3,26,"Male","No",4,1,0,0,2
"296",296,"Bachelors",2015,"Bangalore",3,26,"Female","Yes",4,1,1,1,1
"297",297,"Bachelors",2014,"Pune",3,28,"Male","No",2,0,0,0,1
"298",298,"Bachelors",2016,"Bangalore",3,24,"Female","No",2,1,1,0,1
"299",299,"Bachelors",2012,"Bangalore",3,28,"Male","No",3,0,0,0,1
"300",300,"Bachelors",2012,"Bangalore",3,27,"Male","No",5,0,0,0,1
"301",301,"Bachelors",2013,"Bangalore",3,26,"Male","No",4,0,0,0,1
"302",302,"Bachelors",2014,"New Delhi",3,28,"Female","No",1,0,1,0,1
"303",303,"Bachelors",2014,"New Delhi",3,27,"Female","Yes",5,0,1,1,1
"304",304,"Bachelors",2015,"Pune",3,26,"Female","Yes",4,1,1,1,1
"305",305,"Masters",2014,"New Delhi",3,26,"Male","No",4,1,0,0,2
"306",306,"PHD",2015,"New Delhi",3,25,"Female","No",3,0,1,0,3
"307",307,"Masters",2015,"New Delhi",3,25,"Male","No",3,0,0,0,2
"308",308,"Bachelors",2012,"Pune",3,27,"Male","No",5,0,0,0,1
"309",309,"Masters",2017,"New Delhi",2,24,"Female","No",2,0,1,0,2
"310",310,"Bachelors",2016,"Bangalore",3,24,"Male","No",2,0,0,0,1
"311",311,"Masters",2015,"Pune",3,28,"Female","No",2,0,1,0,2
"312",312,"Bachelors",2017,"Bangalore",3,24,"Female","No",2,0,1,0,1
"313",313,"Bachelors",2017,"Pune",3,25,"Male","No",3,0,0,0,1
"314",314,"Bachelors",2017,"Bangalore",1,25,"Male","No",3,0,0,0,1
"315",315,"Masters",2015,"Pune",3,28,"Female","No",2,0,1,0,2
"316",316,"Bachelors",2017,"Pune",3,26,"Male","No",4,0,0,0,1
"317",317,"Bachelors",2014,"Pune",3,24,"Male","No",2,0,0,0,1
"318",318,"Bachelors",2014,"Pune",3,25,"Female","No",3,1,1,0,1
"319",319,"Bachelors",2018,"Pune",3,26,"Female","No",4,1,1,0,1
"320",320,"Bachelors",2016,"Bangalore",3,27,"Male","No",5,0,0,0,1
"321",321,"Bachelors",2017,"Bangalore",3,28,"Female","No",2,0,1,0,1
"322",322,"Bachelors",2012,"Pune",3,28,"Male","No",2,0,0,0,1
"323",323,"Masters",2012,"New Delhi",3,24,"Female","No",2,1,1,0,2
"324",324,"Bachelors",2013,"Bangalore",3,26,"Male","No",4,0,0,0,1
"325",325,"Bachelors",2015,"New Delhi",3,26,"Female","Yes",4,0,1,1,1
"326",326,"Bachelors",2017,"Bangalore",3,28,"Male","No",1,0,0,0,1
"327",327,"Bachelors",2018,"Pune",3,25,"Male","Yes",3,1,0,1,1
"328",328,"Masters",2017,"New Delhi",3,24,"Male","No",2,0,0,0,2
"329",329,"Bachelors",2013,"Bangalore",3,28,"Male","No",2,1,0,0,1
"330",330,"Bachelors",2017,"Bangalore",3,24,"Male","No",2,0,0,0,1
"331",331,"Masters",2017,"New Delhi",2,25,"Female","No",3,1,1,0,2
"332",332,"Bachelors",2013,"Pune",2,28,"Female","No",1,1,1,0,1
"333",333,"Bachelors",2015,"Bangalore",3,24,"Female","No",2,0,1,0,1
"334",334,"Bachelors",2016,"Pune",3,26,"Male","No",4,0,0,0,1
"335",335,"Bachelors",2015,"New Delhi",2,27,"Female","No",5,1,1,0,1
"336",336,"Bachelors",2018,"Bangalore",3,24,"Female","No",2,1,1,0,1
